XDATE;FDAX
199710060836;4288.26
199710060837;4298.13
199710060838;4303.24
199710060839;4322.07
199710060840;4319.50
199710060841;4318.78
199710060842;4317.11
199710060843;4312.98
199710060844;4313.68
199710060845;4315.34
199710060846;4318.81
199710060847;4320.37
199710060848;4320.79
199710060849;4321.71
199710060850;4319.35
199710060851;4314.39
199710060852;4314.31
199710060853;4313.18
199710060854;4309.35
199710060855;4312.12
199710060856;4313.00
199710060857;4314.20
199710060858;4317.52
199710060859;4319.70
199710060900;4315.26
199710060901;4313.05
199710060902;4308.64
199710060903;4307.86
199710060904;4308.00
199710060905;4307.02
199710060906;4307.56
199710060907;4307.37
199710060908;4307.90
199710060909;4307.62
199710060910;4309.60
199710060911;4311.29
199710060912;4313.22
199710060913;4314.68
199710060914;4316.92
199710060915;4317.83
199710060916;4319.18
199710060917;4320.67
199710060918;4319.80
199710060919;4318.09
199710060920;4318.10
199710060921;4318.78
199710060922;4317.65
199710060923;4315.93
199710060924;4314.05
199710060925;4315.83
199710060926;4315.75
199710060927;4316.00
199710060928;4318.00
199710060929;4316.88
199710060930;4318.22
199710060931;4318.50
199710060932;4318.88
199710060933;4318.12
199710060934;4317.42
199710060935;4318.15
199710060936;4317.75
199710060937;4319.96
199710060938;4319.42
199710060939;4316.76
199710060940;4312.87
199710060941;4312.75
199710060942;4313.46
199710060943;4314.25
199710060944;4321.44
199710060945;4322.12
199710060946;4322.23
199710060947;4323.35
199710060948;4322.84
199710060949;4322.56
199710060950;4323.50
199710060951;4322.14
199710060953;4321.42
199710060954;4321.58
199710060955;4319.65
199710060956;4318.19
199710060957;4319.30
199710060959;4321.50
199710061000;4320.67
199710061001;4318.58
199710061002;4316.65
199710061003;4314.25
199710061004;4315.35
199710061005;4313.97
199710061006;4313.12
199710061007;4313.61
199710061008;4313.12
199710061009;4312.91
199710061010;4311.75
199710061011;4309.64
199710061012;4309.42
199710061013;4309.50
199710061014;4307.99
199710061015;4307.83
199710061016;4305.88
199710061017;4304.38
199710061018;4307.85
199710061019;4309.23
199710061020;4308.04
199710061021;4306.75
199710061022;4305.83
199710061023;4305.02
199710061024;4304.96
199710061025;4305.65
199710061026;4305.92
199710061027;4307.36
199710061028;4307.50
199710061029;4308.00
199710061030;4306.68
199710061031;4308.44
199710061032;4308.50
199710061033;4309.83
199710061034;4306.02
199710061035;4305.28
199710061036;4304.16
199710061037;4302.21
199710061038;4300.45
199710061039;4299.61
199710061040;4301.08
199710061041;4302.26
199710061042;4303.73
199710061043;4302.44
199710061044;4302.88
199710061045;4303.70
199710061046;4304.21
199710061047;4302.38
199710061048;4303.00
199710061049;4300.89
199710061050;4299.96
199710061051;4301.12
199710061052;4300.33
199710061053;4298.48
199710061054;4299.86
199710061055;4299.81
199710061056;4300.00
199710061057;4297.62
199710061058;4294.99
199710061059;4293.58
199710061100;4294.46
199710061101;4295.07
199710061102;4297.61
199710061103;4296.75
199710061104;4296.17
199710061105;4296.50
199710061106;4299.00
199710061107;4300.22
199710061108;4300.10
199710061109;4299.35
199710061110;4300.83
199710061111;4300.18
199710061112;4299.55
199710061113;4301.00
199710061114;4302.21
199710061115;4303.05
199710061116;4304.00
199710061117;4302.72
199710061118;4301.50
199710061119;4303.49
199710061120;4305.17
199710061121;4306.77
199710061122;4307.34
199710061123;4307.00
199710061124;4306.50
199710061125;4307.74
199710061126;4307.93
199710061127;4305.75
199710061128;4304.25
199710061129;4304.25
199710061130;4303.81
199710061131;4303.02
199710061132;4301.66
199710061133;4300.84
199710061134;4300.81
199710061135;4300.86
199710061136;4304.19
199710061137;4302.33
199710061138;4300.50
199710061139;4301.83
199710061140;4303.39
199710061141;4303.61
199710061142;4304.00
199710061143;4304.64
199710061144;4305.86
199710061145;4306.74
199710061146;4306.38
199710061148;4306.00
199710061149;4308.00
199710061150;4309.32
199710061151;4309.96
199710061152;4310.00
199710061153;4310.12
199710061154;4308.01
199710061155;4307.23
199710061156;4307.05
199710061157;4306.75
199710061158;4305.20
199710061159;4305.03
199710061200;4305.77
199710061201;4306.21
199710061202;4305.79
199710061203;4304.91
199710061204;4306.10
199710061205;4307.70
199710061206;4309.49
199710061207;4309.76
199710061208;4310.25
199710061209;4311.72
199710061210;4310.80
199710061211;4310.67
199710061212;4310.12
199710061214;4310.76
199710061215;4310.47
199710061216;4310.00
199710061217;4310.93
199710061218;4312.00
199710061219;4316.34
199710061220;4316.72
199710061221;4315.15
199710061222;4314.23
199710061223;4315.14
199710061224;4313.50
199710061225;4314.30
199710061226;4314.50
199710061227;4313.68
199710061228;4312.98
199710061229;4312.19
199710061230;4312.00
199710061231;4313.36
199710061232;4314.22
199710061233;4315.20
199710061234;4315.68
199710061235;4316.31
199710061236;4316.09
199710061237;4318.20
199710061238;4319.33
199710061239;4319.91
199710061240;4319.82
199710061241;4319.58
199710061242;4319.00
199710061243;4318.50
199710061244;4318.75
199710061245;4318.08
199710061246;4318.33
199710061247;4319.86
199710061248;4321.75
199710061249;4322.36
199710061250;4321.74
199710061251;4322.82
199710061252;4322.82
199710061253;4321.44
199710061254;4322.25
199710061255;4324.27
199710061256;4324.21
199710061257;4324.60
199710061258;4325.21
199710061259;4327.40
199710061300;4327.98
199710061301;4327.37
199710061302;4325.89
199710061303;4325.07
199710061304;4324.81
199710061305;4324.62
199710061306;4324.09
199710061307;4325.18
199710061308;4326.41
199710061309;4326.97
199710061310;4332.37
199710061311;4333.16
199710061312;4334.31
199710061313;4336.00
199710061314;4332.68
199710061315;4335.02
199710061316;4335.56
199710061317;4334.61
199710061318;4332.06
199710061319;4331.35
199710061320;4333.79
199710061321;4333.25
199710061322;4333.60
199710061323;4332.84
199710061324;4331.91
199710061325;4332.00
199710061326;4330.06
199710061327;4330.14
199710061328;4332.50
199710061329;4331.07
199710061330;4331.29
199710061331;4331.86
199710061332;4331.44
199710061333;4331.96
199710061334;4332.50
199710061335;4332.71
199710061336;4333.58
199710061337;4334.25
199710061338;4334.62
199710061339;4336.39
199710061340;4338.23
199710061341;4339.84
199710061342;4339.51
199710061343;4338.33
199710061344;4337.40
199710061345;4336.38
199710061346;4335.00
199710061347;4337.65
199710061348;4338.58
199710061349;4339.00
199710061350;4339.70
199710061351;4342.41
199710061352;4342.94
199710061353;4340.12
199710061354;4338.57
199710061355;4337.92
199710061357;4339.33
199710061358;4340.41
199710061359;4342.38
199710061400;4344.95
199710061401;4346.39
199710061402;4345.70
199710061403;4343.95
199710061404;4344.12
199710061405;4344.85
199710061406;4345.20
199710061407;4344.91
199710061408;4349.34
199710061409;4350.71
199710061410;4353.27
199710061411;4350.44
199710061412;4352.75
199710061413;4350.60
199710061414;4351.21
199710061415;4351.71
199710061416;4351.87
199710061417;4352.75
199710061418;4352.24
199710061419;4351.16
199710061420;4352.03
199710061421;4354.32
199710061422;4354.75
199710061423;4356.26
199710061424;4358.57
199710061425;4357.79
199710061426;4356.90
199710061427;4356.75
199710061428;4354.89
199710061429;4357.24
199710061430;4357.68
199710061431;4356.81
199710061432;4357.72
199710061433;4356.64
199710061434;4356.90
199710061435;4360.07
199710061436;4360.43
199710061437;4359.26
199710061438;4358.83
199710061439;4359.44
199710061440;4360.20
199710061441;4359.02
199710061442;4357.47
199710061443;4354.99
199710061444;4354.65
199710061445;4354.43
199710061446;4352.97
199710061447;4350.82
199710061448;4349.13
199710061449;4350.41
199710061450;4350.53
199710061451;4350.34
199710061452;4350.66
199710061453;4349.43
199710061454;4349.59
199710061455;4349.06
199710061456;4349.95
199710061457;4350.00
199710061458;4346.38
199710061459;4345.95
199710061500;4345.57
199710061501;4346.87
199710061502;4346.96
199710061503;4346.22
199710061504;4346.14
199710061505;4345.88
199710061506;4345.63
199710061507;4346.58
199710061508;4348.03
199710061509;4349.07
199710061510;4348.84
199710061511;4349.14
199710061512;4347.96
199710061513;4349.23
199710061514;4348.35
199710061515;4350.00
199710061516;4352.22
199710061517;4355.09
199710061518;4354.44
199710061519;4354.20
199710061520;4354.50
199710061521;4353.77
199710061522;4354.18
199710061523;4356.29
199710061524;4355.12
199710061525;4355.00
199710061526;4355.08
199710061527;4354.67
199710061528;4355.98
199710061529;4355.99
199710061530;4354.72
199710061531;4354.03
199710061532;4353.01
199710061533;4353.00
199710061534;4354.14
199710061535;4350.90
199710061536;4345.95
199710061537;4345.90
199710061538;4347.00
199710061539;4346.80
199710061540;4345.68
199710061541;4345.71
199710061542;4347.64
199710061543;4348.12
199710061544;4348.80
199710061545;4349.87
199710061546;4349.68
199710061547;4350.26
199710061548;4350.86
199710061549;4350.04
199710061550;4351.83
199710061551;4352.70
199710061552;4348.90
199710061553;4347.88
199710061554;4344.45
199710061555;4343.63
199710061556;4344.50
199710061557;4344.58
199710061558;4343.17
199710061559;4344.20
199710061600;4344.74
199710061601;4348.33
199710061602;4350.22
199710061603;4349.43
199710061604;4352.12
199710061605;4349.05
199710061606;4347.04
199710061607;4349.12
199710061608;4352.12
199710061609;4354.87
199710061610;4356.20
199710061611;4358.17
199710061612;4358.58
199710061613;4356.52
199710061614;4356.36
199710061615;4356.25
199710061616;4354.97
199710061617;4355.19
199710061618;4352.29
199710061619;4349.12
199710061620;4350.61
199710061621;4350.03
199710061622;4349.90
199710061623;4350.00
199710061624;4350.94
199710061625;4349.14
199710061626;4349.46
199710061627;4350.27
199710061628;4351.57
199710061629;4350.79
199710061630;4348.70
199710061631;4347.59
