XDATE;DELAY;CONTRIBUTOR;BID;ASK;FLAG
199706011928;01;ANZM;+24.800;+25.000;0
199706011931;01;CBAP;+24.820;+25.020;0
199706012126;01;ANZM;+24.850;+25.005;0
199706012134;01;CBAP;+24.830;+25.030;0
199706012134;01;CBAP;+24.800;+25.000;0
199706012136;01;ANZM;+24.800;+25.000;0
199706012138;01;CBAP;+24.810;+25.010;0
199706012218;01;ANZM;+24.850;+25.050;0
199706012224;01;CBAP;+24.800;+25.000;0
199706012330;01;ANZM;+24.800;+25.000;0
199706012338;01;AIGH;+24.700;+24.900;0
199706012340;01;AIGH;+24.650;+24.850;0
199706012343;01;MBRC;+24.800;+25.000;0
199706012343;01;AIGH;+24.800;+24.950;0
199706012344;01;AIGH;+24.800;+24.900;0
199706012345;01;SIME;+24.700;+24.800;0
199706012350;02;AIGH;+24.750;+24.850;0
199706012353;01;AIGH;+24.800;+24.850;0
199706012358;01;AIGH;+24.750;+24.820;0
199706012359;01;AIGH;+24.770;+24.820;0
199706020002;01;AIGH;+24.800;+24.820;0
199706020004;01;BBLS;+24.800;+24.850;0
199706020005;02;AIGH;+24.750;+24.800;0
199706020018;01;HKBK;+24.750;+24.850;0
199706020019;01;AIGH;+24.800;+24.850;0
199706020022;01;AIGH;+24.700;+24.800;0
199706020022;01;BBLS;+24.750;+24.900;0
199706020023;01;AIGH;+24.700;+24.750;0
199706020024;01;MBRC;+24.700;+24.800;0
199706020025;01;SUMS;+24.750;+24.850;0
199706020026;01;AIGH;+24.750;+24.800;0
199706020027;01;AIGH;+24.700;+24.800;0
199706020032;01;AIGH;+24.750;+24.800;0
199706020036;01;AIGH;+24.700;+24.750;0
199706020037;02;AIGH;+24.750;+24.770;0
199706020039;01;ANZS;+24.700;+24.800;0
199706020040;01;BBLH;+24.700;+24.800;0
199706020042;01;AIGH;+24.800;+24.900;0
199706020043;01;AIGH;+24.800;+24.850;0
199706020044;01;UOBX;+24.800;+24.900;0
199706020045;01;AIGH;+24.750;+24.850;0
199706020045;01;AIGH;+24.800;+24.850;0
199706020049;01;HKBK;+24.770;+24.870;0
199706020051;01;AIGH;+24.750;+24.850;0
199706020051;01;AIGH;+24.800;+24.850;0
199706020102;01;AIGH;+24.820;+24.870;0
199706020106;01;AIGH;+24.800;+24.850;0
199706020106;01;UOBX;+24.780;+24.980;0
199706020107;01;AIGH;+24.720;+24.820;0
